0. L Tetra Cube; {00, 01,   , 03,   ,   , 06,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   }
1. Branch Tetra Cube; {00, 01,   , 03,   ,   , 06,   ,   ,   ,   ,   , 12,   ,   , 15, 16,   ,   ,   ,   ,   ,   ,   , 24,   ,   }
2. Right Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   ,   , 12,   ,   , 15, 16, 17,   ,   ,   ,   ,   ,   , 24,   ,   }
3. Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   , 11, 12, 13, 14, 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
4. S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17,   , 19, 20,   , 22,   , 24,   ,   }
5. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   , 11, 12, 13, 14, 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
6. Removing Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   ,   , 12,   ,   , 15, 16, 17,   ,   ,   ,   ,   ,   , 24,   ,   }
7. Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10,   , 12, 13,   , 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
8. S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17,   ,   ,   ,   , 22, 23, 24,   , 26}
9. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10,   , 12, 13,   , 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
10. S Tetra Cube; {00, 01,   , 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17,   ,   , 20,   , 22,   , 24,   ,   }
11. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10,   , 12, 13,   , 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
12. S Tetra Cube; {00, 01, 02, 03, 04,   , 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17,   ,   ,   ,   , 22, 23, 24,   ,   }
13. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08, 09, 10,   , 12, 13,   , 15, 16, 17,   ,   ,   ,   , 22,   , 24,   ,   }
14. Removing Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   ,   , 12,   ,   , 15, 16, 17,   ,   ,   ,   ,   ,   , 24,   ,   }
15. Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   ,   ,   ,   ,   , 23, 24,   ,   }
16. S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   ,   ,   , 21, 22, 23, 24, 25, 26}
17. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   ,   ,   ,   ,   , 23, 24,   ,   }
18. S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   , 19, 20, 21, 22, 23, 24,   ,   }
19. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   ,   ,   ,   ,   , 23, 24,   ,   }
20. S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17, 18,   ,   , 21, 22, 23, 24, 25,   }
21. Removing S Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   , 10, 11, 12,   , 14, 15, 16, 17,   ,   ,   ,   ,   , 23, 24,   ,   }
22. Removing Left Screw Tetra Cube; {00, 01,   , 03, 04,   , 06, 07, 08,   ,   ,   , 12,   ,   , 15, 16, 17,   ,   ,   ,   ,   ,   , 24,   ,   }
